date,temp,vappr,wddir,load,wind_onshore
2015-01-01 00:00:00+00:00,9.8,12.1,200,2832.0,1336.0
2015-01-01 01:00:00+00:00,9.8,12.1,210,2678.0,1271.0
2015-01-01 02:00:00+00:00,9.2,11.6,210,2432.0,1244.0
2015-01-01 03:00:00+00:00,8.9,11.4,180,2276.0,1162.0
2015-01-01 04:00:00+00:00,9.3,11.7,190,2173.0,1182.0
2015-01-01 05:00:00+00:00,9.9,12.2,190,2136.0,1313.0
2015-01-01 06:00:00+00:00,10.1,12.2,200,2166.0,1484.0
2015-01-01 07:00:00+00:00,10.3,12.5,200,2215.0,1525.0
2015-01-01 08:00:00+00:00,10.7,12.9,190,2237.0,1469.0
2015-01-01 09:00:00+00:00,10.7,12.9,190,2311.0,1414.0
2015-01-01 10:00:00+00:00,10.9,13.0,210,2586.0,1534.0
2015-01-01 11:00:00+00:00,11.3,13.4,210,2865.0,1682.0
2015-01-01 12:00:00+00:00,11.5,13.6,210,3117.0,1766.0
2015-01-01 13:00:00+00:00,11.8,13.8,210,3235.0,1790.0
2015-01-01 14:00:00+00:00,12.1,14.1,210,3155.0,1687.0
2015-01-01 15:00:00+00:00,12.3,14.3,210,3121.0,1631.0
2015-01-01 16:00:00+00:00,12.4,14.4,230,3229.0,1835.0
2015-01-01 17:00:00+00:00,12.4,14.4,230,3490.0,1840.0
2015-01-01 18:00:00+00:00,12.7,14.7,230,3479.0,1815.0
2015-01-01 19:00:00+00:00,12.6,14.6,230,3367.0,1776.0
2015-01-01 20:00:00+00:00,12.2,13.5,250,3222.0,1768.0
2015-01-01 21:00:00+00:00,10.3,11.1,260,3094.0,1747.0
2015-01-01 22:00:00+00:00,9.3,9.7,260,2917.0,1602.0
2015-01-01 23:00:00+00:00,8.8,9.6,260,2899.0,1582.0
2015-01-02 00:00:00+00:00,7.9,8.1,280,2739.0,1599.0
2015-01-02 01:00:00+00:00,7.1,7.6,280,2476.0,1488.0
2015-01-02 02:00:00+00:00,6.3,7.3,280,2288.0,1361.0
2015-01-02 03:00:00+00:00,6.0,7.2,280,2181.0,1367.0
2015-01-02 04:00:00+00:00,5.3,7.1,260,2124.0,1276.0
2015-01-02 05:00:00+00:00,4.9,6.9,260,2143.0,1301.0
2015-01-02 06:00:00+00:00,4.9,6.5,250,2231.0,1220.0
2015-01-02 07:00:00+00:00,2.9,6.3,260,2446.0,1073.0
2015-01-02 08:00:00+00:00,4.3,6.5,250,2674.0,1194.0
2015-01-02 09:00:00+00:00,2.1,6.2,220,2896.0,1104.0
2015-01-02 10:00:00+00:00,2.8,6.4,220,3169.0,993.0
2015-01-02 11:00:00+00:00,5.1,7.1,230,3333.0,856.0
2015-01-02 12:00:00+00:00,6.4,7.5,230,3386.0,733.0
2015-01-02 13:00:00+00:00,7.2,7.1,240,3380.0,730.0
2015-01-02 14:00:00+00:00,7.4,7.2,230,3305.0,799.0
2015-01-02 15:00:00+00:00,5.9,7.3,220,3299.0,849.0
2015-01-02 16:00:00+00:00,5.7,7.3,220,3494.0,889.0
2015-01-02 17:00:00+00:00,5.0,7.2,220,3985.0,948.0
2015-01-02 18:00:00+00:00,4.9,7.5,210,4027.0,1005.0
2015-01-02 19:00:00+00:00,5.8,7.8,230,3845.0,1155.0
2015-01-02 20:00:00+00:00,5.6,7.8,230,3609.0,1076.0
2015-01-02 21:00:00+00:00,5.4,8.0,200,3421.0,1035.0
2015-01-02 22:00:00+00:00,5.4,8.1,180,3168.0,841.0
2015-01-02 23:00:00+00:00,5.9,8.7,150,3086.0,709.0
2015-01-03 00:00:00+00:00,6.0,8.9,160,2873.0,553.0
2015-01-03 01:00:00+00:00,5.6,9.1,150,2607.0,449.0
2015-01-03 02:00:00+00:00,5.3,8.9,120,2423.0,656.0
2015-01-03 03:00:00+00:00,5.3,8.9,100,2280.0,678.0
2015-01-03 04:00:00+00:00,6.3,9.5,120,2197.0,606.0
2015-01-03 05:00:00+00:00,6.6,9.7,110,2158.0,590.0
2015-01-03 06:00:00+00:00,7.0,10.0,100,2233.0,558.0
2015-01-03 07:00:00+00:00,7.4,10.3,100,2365.0,505.0
2015-01-03 08:00:00+00:00,8.5,11.1,210,2510.0,703.0
2015-01-03 09:00:00+00:00,8.9,11.4,240,2741.0,750.0
2015-01-03 10:00:00+00:00,10.8,12.9,250,3016.0,673.0
2015-01-03 11:00:00+00:00,8.5,11.1,260,3177.0,407.0
2015-01-03 12:00:00+00:00,6.6,9.7,330,3273.0,317.0
2015-01-03 13:00:00+00:00,7.0,9.9,320,3284.0,206.0
2015-01-03 14:00:00+00:00,6.7,9.2,340,3222.0,107.0
2015-01-03 15:00:00+00:00,5.8,8.8,350,3195.0,66.0
2015-01-03 16:00:00+00:00,5.8,8.9,10,3347.0,72.0
2015-01-03 17:00:00+00:00,6.0,9.1,350,3874.0,92.0
2015-01-03 18:00:00+00:00,6.0,9.2,350,3938.0,103.0
2015-01-03 19:00:00+00:00,5.9,8.9,50,3749.0,125.0
2015-01-03 20:00:00+00:00,5.6,8.7,50,3548.0,142.0
2015-01-03 21:00:00+00:00,5.5,8.6,40,3342.0,151.0
2015-01-03 22:00:00+00:00,5.5,8.5,70,3114.0,250.0
2015-01-03 23:00:00+00:00,5.5,8.6,70,3062.0,381.0
2015-01-04 00:00:00+00:00,5.5,8.6,100,2908.0,403.0
2015-01-04 01:00:00+00:00,6.1,8.7,100,2659.0,349.0
2015-01-04 02:00:00+00:00,6.0,8.8,80,2448.0,276.0
2015-01-04 03:00:00+00:00,6.3,8.8,100,2299.0,312.0
2015-01-04 04:00:00+00:00,6.5,9.1,120,2229.0,302.0
2015-01-04 05:00:00+00:00,6.6,9.2,120,2173.0,318.0
2015-01-04 06:00:00+00:00,7.0,9.4,140,2205.0,362.0
2015-01-04 07:00:00+00:00,7.0,9.4,140,2258.0,423.0
2015-01-04 08:00:00+00:00,6.9,9.4,150,2307.0,517.0
2015-01-04 09:00:00+00:00,6.5,9.1,140,2454.0,538.0
2015-01-04 10:00:00+00:00,7.5,9.6,150,2741.0,530.0
2015-01-04 11:00:00+00:00,8.2,10.4,150,2988.0,503.0
2015-01-04 12:00:00+00:00,8.4,11.0,160,3189.0,461.0
2015-01-04 13:00:00+00:00,8.3,10.9,190,3297.0,472.0
2015-01-04 14:00:00+00:00,7.6,10.4,180,3245.0,530.0
2015-01-04 15:00:00+00:00,7.4,10.3,190,3190.0,690.0
2015-01-04 16:00:00+00:00,7.3,10.2,180,3285.0,854.0
2015-01-04 17:00:00+00:00,7.4,10.3,160,3741.0,893.0
2015-01-04 18:00:00+00:00,7.5,10.4,160,3847.0,919.0
2015-01-04 19:00:00+00:00,7.7,10.5,180,3703.0,920.0
2015-01-04 20:00:00+00:00,7.8,10.6,160,3551.0,839.0
2015-01-04 21:00:00+00:00,8.0,10.7,160,3340.0,763.0
2015-01-04 22:00:00+00:00,8.3,10.9,180,3054.0,688.0
2015-01-04 23:00:00+00:00,8.4,11.0,180,2904.0,773.0
2015-01-05 00:00:00+00:00,8.7,11.2,150,2700.0,779.0
2015-01-05 01:00:00+00:00,9.0,11.5,160,2473.0,798.0
2015-01-05 02:00:00+00:00,9.4,11.8,170,2302.0,886.0
2015-01-05 03:00:00+00:00,9.7,12.0,180,2252.0,1039.0
2015-01-05 04:00:00+00:00,9.8,12.1,190,2272.0,1139.0
2015-01-05 05:00:00+00:00,10.0,12.3,180,2268.0,1189.0
2015-01-05 06:00:00+00:00,10.1,12.4,190,2471.0,1068.0
2015-01-05 07:00:00+00:00,10.0,12.3,190,3020.0,1182.0
2015-01-05 08:00:00+00:00,10.0,12.3,190,3445.0,1195.0
2015-01-05 09:00:00+00:00,10.0,12.3,190,3523.0,1183.0
2015-01-05 10:00:00+00:00,9.4,11.8,200,3623.0,1169.0
2015-01-05 11:00:00+00:00,9.4,11.8,180,3719.0,1220.0
2015-01-05 12:00:00+00:00,9.8,12.1,180,3742.0,1216.0
2015-01-05 13:00:00+00:00,9.8,12.1,180,3725.0,1162.0
2015-01-05 14:00:00+00:00,9.6,11.9,190,3714.0,1190.0
2015-01-05 15:00:00+00:00,9.5,11.9,180,3785.0,1228.0
2015-01-05 16:00:00+00:00,9.5,11.9,190,4007.0,1179.0
2015-01-05 17:00:00+00:00,9.4,11.8,190,4386.0,1105.0
2015-01-05 18:00:00+00:00,8.8,11.3,190,4317.0,1022.0
